Order,Material,REL Date,FO Due Date,CNF Date,DLV Date,Quantity of goods received,Ord.quantity
FO6779062,PN 60572,2021-08-19,2022-01-04,2022-01-04,2022-01-04,1,
FO6226652,PN 60937,2021-11-05,2022-01-06,2022-01-06,2022-01-06,128,
FO6272070,PN 57880,2021-11-25,2022-01-05,2022-01-05,2022-01-05,,
FO6272079,PN 57880,2021-11-25,2022-01-05,2022-01-05,2022-01-06,,
FO6272966,PN 63013,2021-11-26,2022-01-05,2022-01-05,2022-01-05,4,
FO6272205,PN 56029,2021-11-26,2022-01-05,2022-01-05,2022-01-05,,
FO6272672,PN 58544,2021-11-29,2022-01-07,2022-01-07,2022-01-07,12,
FO6272796,PN 56744,2021-11-30,2022-01-04,2022-01-04,2022-01-04,37,
FO6277779,PN 62318,2021-12-01,2022-01-07,2022-01-07,2022-01-07,3,
FO6243562,PN 58416,2021-12-06,2022-01-10,2022-01-07,2022-01-07,47,
FO6243229,PN 70484,2021-12-06,2022-01-05,2022-01-05,2022-01-07,1,
FO6243279,PN 63087,2021-12-06,2022-01-05,2022-01-05,2022-01-05,4,
FO6243296,PN 63087,2021-12-06,2022-01-07,2022-01-07,2022-01-07,4,
FO6242426,PN 61284,2021-12-07,2022-01-07,2022-01-07,2022-01-07,30,
FO6242722,PN 61125,2021-12-08,2022-01-04,2022-01-04,2022-01-05,50,
FO6242742,PN 61274,2021-12-08,2022-01-07,2022-01-07,2022-01-07,21,
FO6242726,PN 53702,2021-12-08,2022-01-05,2022-01-04,2022-01-04,96,
FO6243099,PN 53203,2021-12-09,2022-01-05,2022-01-05,2022-01-04,4,
FO6243625,PN 61746,2021-12-09,2022-01-06,2022-01-05,2022-01-05,150,
FO6243962,PN 59325,2021-12-10,2022-01-06,2022-01-06,2022-01-06,12,
FO6243965,PN 56613,2021-12-10,2022-01-05,2022-01-05,2022-01-05,30,
FO6243959,PN 59146,2021-12-10,2022-01-06,2022-01-06,2022-01-06,8,
FO6243967,PN 59492,2021-12-10,2022-01-04,2022-01-04,2022-01-04,43,
FO6277707,PN 69902,2021-12-13,2022-01-06,2022-01-06,2022-01-06,5,
FO6277725,PN 52341,2021-12-13,2022-01-04,2022-01-04,2022-01-04,3,
FO6277795,PN 59403,2021-12-13,2022-01-06,2022-01-06,2022-01-06,4,
FO6274343,PN 58442,2021-12-14,2022-01-06,2022-01-06,2022-01-06,10,
FO6277772,PN 62904,2021-12-14,2022-01-05,2022-01-05,2022-01-05,4,
FO6277777,PN 62904,2021-12-14,2022-01-05,2022-01-05,2022-01-05,4,
FO6277743,PN 62904,2021-12-14,2022-01-05,2022-01-05,2022-01-05,4,
FO6277742,PN 62890,2021-12-14,2022-01-06,2022-01-06,2022-01-06,1,
FO6277207,PN 55461,2021-12-14,2022-01-05,2022-01-04,2022-01-04,8,
FO6277279,PN 53525,2021-12-14,2022-01-05,2022-01-05,2022-01-05,6,
FO6277250,PN 69822,2021-12-14,2022-01-04,2022-01-04,2022-01-05,1,
FO6277259,PN 70281,2021-12-14,2022-01-04,2022-01-04,2022-01-05,1,
FO6277257,PN 70536,2021-12-14,2022-01-04,2022-01-04,2022-01-07,1,
FO6277256,PN 70536,2021-12-14,2022-01-04,2022-01-04,2022-01-07,1,
FO6277255,PN 69996,2021-12-14,2022-01-05,2022-01-05,2022-01-07,1,
FO6277266,PN 55598,2021-12-14,2022-01-05,2022-01-05,2022-01-04,2,
FO6277267,PN 55598,2021-12-14,2022-01-05,2022-01-05,2022-01-04,1,
FO6277967,PN 61609,2021-12-14,2022-01-05,2022-01-05,2022-01-05,94,
FO6272026,PN 53746,2021-12-15,2022-01-07,2022-01-07,2022-01-07,1,
FO6272905,PN 55146,2021-12-15,2022-01-07,,2022-01-07,11,
FO6272960,PN 62573,2021-12-15,2022-01-04,2022-01-04,2022-01-04,1,
FO6272969,PN 62573,2021-12-15,2022-01-06,2022-01-06,2022-01-06,1,
FO6272962,PN 62886,2021-12-15,2022-01-05,2022-01-05,2022-01-05,4,
FO6272965,PN 69931,2021-12-15,2022-01-05,2022-01-05,2022-01-07,1,
FO6272967,PN 60250,2021-12-15,2022-01-06,2022-01-06,2022-01-06,5,
FO6272790,PN 52051,2021-12-15,2022-01-06,2022-01-05,2022-01-05,14,
FO6272799,PN 54005,2021-12-15,2022-01-07,2022-01-06,2022-01-06,89,
FO6272797,PN 56111,2021-12-15,2022-01-05,2022-01-05,2022-01-05,24,
FO6272795,PN 53670,2021-12-15,2022-01-05,2022-01-05,2022-01-05,9,
FO6272996,PN 60316,2021-12-15,2022-01-04,2022-01-04,2022-01-04,1,
FO6272995,PN 54423,2021-12-15,2022-01-06,2022-01-06,2022-01-06,20,
FO6272222,PN 61107,2021-12-15,2022-01-04,2022-01-04,2022-01-04,209,
FO6272226,PN 61497,2021-12-15,2022-01-04,2022-01-04,2022-01-04,282,
FO6272707,PN 63450,2021-12-15,2022-01-06,2022-01-06,2022-01-06,20,
FO6272699,PN 65863,2021-12-16,2022-01-05,2022-01-05,2022-01-05,3,
FO6272555,PN 55953,2021-12-16,2022-01-05,2022-01-05,2022-01-05,11,
FO6272566,PN 56224,2021-12-16,2022-01-05,2022-01-05,2022-01-05,13,
FO6272543,PN 51756,2021-12-16,2022-01-07,2022-01-07,2022-01-07,3,
FO6272520,PN 69438,2021-12-16,2022-01-05,2022-01-05,2022-01-05,3,
FO6272529,PN 69438,2021-12-16,2022-01-05,2022-01-05,2022-01-05,4,
FO6272522,PN 68396,2021-12-16,2022-01-05,2022-01-05,2022-01-05,4,
FO6272526,PN 62318,2021-12-16,2022-01-07,2022-01-07,2022-01-07,2,
