Part,ProcType,Business Area,Production Area,Planner,Buyer,Work Centre,Box Qty,SLoc,ABC *, Std Cost , Std HRS 
PN 51396,Buy,BA 001,PROD 1001,,BYR 006,,,SL008,, 20.00 ,
PN 62167,Buy,BA 002,PROD 2001,,BYR 009,,,SL006,, 20.00 ,
PN 51395,Make,BA 001,PROD 1001,MRP 008,,WC018,,SL009,C, 20.00 , 0.232 
PN 51394,Make,BA 001,PROD 1001,MRP 004,,WC013,,SL009,A, 20.00 , 8.032 
PN 51397,Make,BA 001,PROD 1001,MRP 002,,WC013,,SL009,C, 20.00 , 2.889 
PN 51398,Make,BA 001,PROD 1001,MRP 007,,WC013,,SL009,C, 20.00 , 7.765 
PN 63685,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 20.00 , 5.003 
PN 63687,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 20.00 , 7.900 
PN 63688,Make,BA 002,PROD 2003,MRP 009,,WC003,,SL009,, 20.00 , 3.320 
PN 63690,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 20.00 , 9.336 
PN 63686,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 20.00 , 5.089 
PN 63689,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 20.00 , 0.924 
PN 70580,Buy,,,,BYR 005,,,,, 19.99 ,
PN 60723,Make,BA 001,PROD 1002,MRP 007,,WC041,,SL006,, 19.99 , 5.558 
PN 51403,Make,BA 001,PROD 1001,MRP 007,,WC028,,SL009,C, 19.99 , 15.180 
PN 51406,Make,BA 001,PROD 1001,MRP 007,,WC025,,SL009,C, 19.99 , 4.928 
PN 51400,Make,BA 001,PROD 1001,MRP 004,,WC021,,SL009,A, 19.99 , 9.283 
PN 51399,Make,BA 001,PROD 1001,MRP 003,,WC018,,SL009,C, 19.99 , 2.869 
PN 51402,Make,BA 001,PROD 1001,MRP 004,,WC018,,SL009,C, 19.99 , 13.591 
PN 51401,Make,BA 001,PROD 1001,MRP 005,,WC013,,SL009,C, 19.99 , 19.368 
PN 63691,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL009,, 19.99 , 15.166 
PN 62168,Buy,BA 002,PROD 2001,,BYR 007,,,SL006,, 19.98 ,
PN 50001,Buy,BA 003,PROD 3002,,BYR 001,,,,, 19.98 ,
PN 51409,Make,BA 001,PROD 1001,MRP 004,,WC026,,SL009,C, 19.98 , 16.971 
PN 51410,Make,BA 001,PROD 1001,MRP 004,,WC018,,SL009,C, 19.98 , 0.021 
PN 63693,Make,BA 002,PROD 2003,MRP 003,,WC003,,SL009,, 19.98 , 3.288 
PN 63694,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL009,, 19.98 , 10.379 
PN 63692,Make,BA 002,PROD 2003,MRP 005,,WC002,,SL006,, 19.98 , 13.198 
PN 51412,Buy,BA 001,PROD 1001,,BYR 006,,,SL006,, 19.97 ,
PN 51421,Buy,BA 001,PROD 1001,,BYR 008,,,SL008,, 19.97 ,
PN 63696,Buy,BA 002,PROD 2003,,BYR 002,,,SL006,, 19.97 ,
PN 50002,Buy,BA 003,PROD 3002,,BYR 004,,,SL008,, 19.97 ,
PN 51416,Make,BA 001,PROD 1001,MRP 008,,WC035,,SL009,C, 19.97 , 2.712 
PN 51413,Make,BA 001,PROD 1001,MRP 003,,WC026,,SL009,C, 19.97 , 7.522 
PN 51414,Make,BA 001,PROD 1001,MRP 008,,WC018,,SL009,C, 19.97 , 17.882 
PN 51415,Make,BA 001,PROD 1001,MRP 008,,WC015,,SL009,C, 19.97 , 2.696 
PN 51417,Make,BA 001,PROD 1001,MRP 006,,WC015,,SL009,NPI, 19.97 , 18.377 
PN 51422,Make,BA 001,PROD 1001,MRP 004,,WC013,,SL009,C, 19.97 , 14.576 
PN 63695,Make,BA 002,PROD 2003,MRP 006,,WC002,,SL006,, 19.97 , 12.919 
PN 63697,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 19.97 , 15.276 
PN 69762,Buy,BA 002,PROD 2004,,BYR 002,,,SL006,, 19.96 ,
PN 69763,Buy,BA 002,PROD 2004,,BYR 006,,,SL008,, 19.96 ,
PN 69764,Buy,BA 002,PROD 2004,,BYR 004,,,SL008,, 19.96 ,
PN 51424,Make,BA 001,PROD 1001,MRP 009,,WC018,,SL009,C, 19.96 , 2.284 
PN 51425,Make,BA 001,PROD 1001,MRP 009,,WC015,,SL009,C, 19.96 , 8.604 
PN 51427,Buy,BA 001,PROD 1001,,BYR 002,,,SL006,, 19.95 ,
PN 62169,Buy,BA 002,PROD 2001,,BYR 007,,,SL006,, 19.95 ,
PN 62171,Buy,BA 002,PROD 2001,,BYR 001,,,SL008,, 19.95 ,
PN 63382,Buy,BA 002,PROD 2002,,BYR 004,,,SL006,, 19.95 ,
